epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,807.67,1.94759,0.71528,0.5186,2e-05,0.02143,1e-05,0,1.36731,2.10484,0.24537,0.0667312,3.33021e-05,3.33021e-05
2,1625.01,1.27029,0.75838,0.27135,0.68659,0.11354,0.04063,0.01128,0.6663,2.90953,0.11624,0.0334306,6.60357e-05,6.60357e-05
